,Company_Name,Rcmd_Name,Score
8296,908 devices inc,908 devices inc,1.0
4727,matador resources company,matador resources company,1.0
4650,jbg smith properties,jbg smith properties,1.0
4652,"hydrofarm holdings group, inc.","hydrofarm holdings group, inc.",1.0
4731,"upexi, inc.","upexi, inc.",1.0
4717,organogenesis holdings inc,organogenesis holdings inc,1.0
4719,strattec security corporation,strattec security corporation,1.0
266,gold resource corporation,gold resource corporation,1.0
13109,barings participation investors,barings participation investors,1.0
267,abbvie inc.,abbvie inc.,1.0
4580,"vaccinex, inc.","vaccinex, inc.",1.0
1998,evercommerce inc.,evercommerce inc.,1.0
1997,advansix inc,advansix inc,1.0
13100,nuveen core equity alpha fund,nuveen core equity alpha fund,1.0
4653,oracle corporation,oracle corporation,1.0
4742,marin software incorporated,marin software incorporated,1.0
4745,cion investment corporation,cion investment corporation,1.0
4750,nuvve holding corp.,nuvve holding corp.,1.0
4641,wd-40 company,wd-40 company,1.0
2026,super micro computer inc.,super micro computer inc.,1.0
4761,triad business bank,triad business bank,1.0
2041,"prometheus biosciences, inc.","prometheus biosciences, inc.",1.0
4520,"toughbuilt industries, inc.","toughbuilt industries, inc.",1.0
237,arrow financial corporation,arrow financial corporation,1.0
4496,fedex corporation,fedex corporation,1.0
4498,chase corporation,chase corporation,1.0
13197,neophotonics corporation,neophotonics corporation,1.0
4501,"petco health and wellness company, inc.","petco health and wellness company, inc.",1.0
2043,"lendway, inc.","lendway, inc.",1.0
2040,wishpond technologies ltd.,wishpond technologies ltd.,1.0
2028,"o-i glass, inc.","o-i glass, inc.",1.0
241,"poseida therapeutics, inc.","poseida therapeutics, inc.",1.0
4588,"astria therapeutics, inc.","astria therapeutics, inc.",1.0
4522,"avalara, inc.","avalara, inc.",1.0
4539,digi international inc.,digi international inc.,1.0
4543,zurn elkay water solutions corporation,zurn elkay water solutions corporation,1.0
2032,"cynergistek, inc.","cynergistek, inc.",1.0
4561,reed's inc.,reed's inc.,1.0
1995,"confluent, inc.","confluent, inc.",1.0
4762,sl green realty corp.,sl green realty corp.,1.0
4343,northwest pipe company,northwest pipe company,1.0
4296,"petros pharmaceuticals, inc.","petros pharmaceuticals, inc.",1.0
4702,craft 1861 global holdings inc.,craft 1861 global holdings inc.,1.0
13201,john hancock investors trust,john hancock investors trust,1.0
13202,john hancock income securities trust,john hancock income securities trust,1.0
2071,cumulus media inc.,cumulus media inc.,1.0
