,Company_Name,Rcmd_Name,Score
7082,"glycomimetics, inc.",glycomimetics inc,0.89
9939,roth ch acquisition iii co.,roth ch acquisition v co.,0.89
11282,"intellicheck, inc.",intellicheck inc,0.89
3527,brookfield real assets income fund,brookfield real assets income fund inc,0.89
6354,rok resources inc.,eog resources inc.,0.89
9379,"gossamer bio, inc.",gossamer bio inc,0.89
5816,"a10 networks, inc.",a10 networks inc,0.89
4893,"nb bancorp, inc.","fncb bancorp, inc.",0.89
13930,be resources inc.,qep resources inc.,0.89
6360,"oric pharmaceuticals, inc.","aerie pharmaceuticals, inc.",0.89
2421,ares industrial real estate income trust,ares industrial real estate income trust inc.,0.89
7104,"ks bancorp, inc.","kish bancorp, inc.",0.89
693,nuveen georgia quality municipal inc fd,nuveen georgia quality municipal income fund,0.89
2583,canuc resources corporation,range resources corporation,0.89
5266,"steel connect, inc.",steel connect inc,0.89
2619,"nanovibronix, inc.",nanovibronix inc,0.89
4339,gt resources inc.,rgc resources inc.,0.89
5612,ajn resources inc.,eon resources inc.,0.89
4348,"dacotah banks, inc.",dacotah banks inc,0.89
12033,nuveen amt-free municipal credit inc fd,nuveen amt-free municipal credit income fund,0.89
5509,"life storage, inc.",life storage inc,0.89
1423,"ssb bancorp, inc.","cfsb bancorp, inc.",0.89
3885,"hsb bancorp, inc.","cfsb bancorp, inc.",0.89
5280,fec resources inc.,qep resources inc.,0.89
11608,navco pharmaceuticals inc.,inovio pharmaceuticals inc.,0.89
5724,contextlogic inc,"contextlogic, inc.",0.89
8900,"eton pharmaceuticals, inc.","petros pharmaceuticals, inc.",0.89
2929,"acuity brands, inc.",acuity brands inc,0.89
12219,kimbell royalty partners lp,kimbell royalty partners,0.89
1879,dlp resources inc.,qep resources inc.,0.89
11886,nuveen variable rate preferred & income,nuveen variable rate preferred & income fund,0.89
3407,"soleno therapeutics, inc.","sorrento therapeutics, inc.",0.89
659,"nanoviricides, inc.",nanoviricides inc,0.89
5031,"societal cdmo, inc.",societal cdmo inc,0.89
932,nustar energy l.p.,nustar energy l p,0.89
10739,crestwood equity partners lp,crestwood equity partners,0.89
10671,"quad/graphics, inc.","quad graphics, inc",0.89
1536,"vaalco energy, inc.",vaalco energy inc,0.89
102,onex corporation,cognex corporation,0.89
10000,pimco global stocksplus income fd,pimco global stocksplus & income fund,0.89
3006,"jaguar health, inc.",jaguar health inc,0.89
8665,athena technology acquisition corp,athena technology acquisition corp. ii,0.89
3460,"pure storage, inc.",pure storage inc,0.89
1288,"wideopenwest, inc.",wideopenwest inc,0.89
12877,bny mellon strategic municipal bd fd inc,"bny mellon strategic municipal bond fund, inc",0.89
290,"camber energy, inc.",camber energy inc,0.89
6905,"aclaris therapeutics, inc.","allarity therapeutics, inc.",0.89
10579,khosla ventures acquisition co.,khosla ventures acquisition co. iii,0.89
10054,alpha capital acquisition company,alpha capital acquisition company one,0.89
4150,gfg resources inc.,eog resources inc.,0.89
8558,"avanos medical,inc.",avanos medical inc,0.89
9064,"healthequity, inc.",healthequity inc,0.89
10378,"rimini street, inc.",rimini street inc,0.89
13458,amv capital corporation,ares capital corporation,0.88
1105,"geovax labs, inc.",geovax labs inc,0.88
3009,"golub capital bdc 3, inc.",golub capital bdc inc.,0.88
9312,independent bank corp.,independent bank corp/mi,0.88
7668,immunovant inc,"immunovant, inc.",0.88
10409,"annovis bio, inc.",annovis bio inc,0.88
6056,"tg therapeutics, inc.","tango therapeutics, inc.",0.88
12989,nuveen nasdaq 100 dynamic overwrite fund,nuveen nasdaq 100 dynamic overwrite,0.88
3012,ellington financial inc.,ellington financial llc,0.88
112,"iheartmedia, inc.",iheartmedia inc,0.88
12961,nuveen preferred and income term fund,nuveen preferred and income 2022 term fund,0.88
2966,lendingtree inc,"lendingtree, inc.",0.88
11685,growth capital acquisition corp.,arogo capital acquisition corp.,0.88
2894,f & m bank corp.,f&m bank corp.,0.88
3308,citizens financial corp.,citizens financial corp/ky,0.88
343,"mersana therapeutics, inc.","dermata therapeutics, inc.",0.88
2633,"cara therapeutics, inc.","carisma therapeutics, inc.",0.88
7586,"zevra therapeutics, inc.","zyversa therapeutics, inc.",0.88
10005,the farmers and merchants bankshares inc,farmers and merchants bancshares inc,0.88
10973,american resources corporation,rex american resources corporation,0.88
2785,"baudax bio, inc.",baudax bio inc,0.88
6173,rivernorth opportunities fund,rivernorth opportunities fund inc,0.88
336,"puma biotechnology, inc.","sana biotechnology, inc.",0.88
10080,fvcbankcorp inc.,fvc bankcorp inc,0.88
3409,beyond medical technologies inc.,evome medical technologies inc.,0.88
7644,jeffersonville bancorp,jeffersonville bancorp ny,0.88
13247,john hancock hedged equity and income fd,john hancock hedged equity & income fund,0.88
12615,maxpro capital acquisition corp.,arogo capital acquisition corp.,0.88
8266,"protokinetix,inc.",protokinetix inc,0.88
8997,"jounce therapeutics, inc.","quince therapeutics, inc.",0.88
6172,us critical metals corp.,critical metals corp.,0.88
4813,"farmers & merchants bancorp, inc.",farmers & merchants bancorp inc/mo,0.88
11931,"plains gp holdings, l.p.",plains gp holdings lp,0.88
9718,"mustang bio, inc.",mustang bio inc,0.88
979,"anaptysbio, inc.",anaptysbio inc,0.88
6037,"lands' end, inc.",lands' end inc,0.88
5440,invesco high income 2023 target term,invesco high income 2023 target term fund,0.88
1648,newton energy corporation,devon energy corporation,0.88
6221,golo mobile inc.,glu mobile inc.,0.88
1779,"american axle & manufacturing hldgs, inc",american axle & manufacturing holdings inc.,0.88
3422,"farmers & merchants bancorp, inc.",farmers & merchants bancorp inc/mo,0.88
394,tingo group inc,"tingo group, inc.",0.88
3279,emx royalty corporation,xoma royalty corporation,0.88
13097,"cohen & steers total return rlty fd, inc",cohen & steers total return realty fund inc,0.88
10290,senstar technologies corporation,sensient technologies corporation,0.88
10584,cava group inc,"cava group, inc.",0.88
5933,masterbrand inc,"masterbrand, inc.",0.88
8072,ldb capital corp.,dhb capital corp.,0.88
4372,kronos bio inc,"kronos bio, inc.",0.88
11545,warrior technologies acquisition co.,warrior technologies acquisition company,0.88
7172,"cytomx therapeutics, inc.","cyteir therapeutics, inc.",0.88
11576,hamilton beach brands hldg co.,hamilton beach brands holding co,0.88
1739,"agex therapeutics, inc.","apogee therapeutics, inc.",0.88
5712,"icoreconnect, inc",icoreconnect inc.,0.88
4350,tekla world healthcare fd,tekla world healthcare,0.88
128,"gemini therapeutics, inc.","serina therapeutics, inc.",0.88
4528,"fidelity nat'l information services,inc.",fidelity national information services inc.,0.88
1192,bigbear ai holdings inc,"bigbear.ai holdings, inc.",0.88
12767,tigo energy inc,"tigo energy, inc.",0.88
10179,"protara therapeutics, inc.","proteon therapeutics, inc.",0.88
7858,"arcus biosciences, inc.","pardes biosciences, inc.",0.88
5636,cactus acquisition corp. 1 ltd,cactus acquisition corp. 1 limited,0.88
6750,blackrock municipal bond funds,blackrock municipal bond fund inc,0.88
12470,coeptis therapeutics inc.,compass therapeutics inc.,0.88
6597,cbre clarion global real estate inc fd,cbre clarion global real estate income fund,0.88
12912,charles schwab family of funds,the charles schwab family of funds,0.88
10334,"wrap technologies, inc.","array technologies, inc.",0.88
2121,mediaalpha inc,"mediaalpha, inc.",0.88
3501,"bonal international, inc.","banzai international, inc.",0.88
9513,linkbancorp inc,"linkbancorp, inc.",0.88
2290,nuveen select tax-free income port 3,nuveen select tax-free income portfolio,0.87
7901,western asset municipal high inc fd inc,western asset municipal high income fund inc.,0.87
13882,intact financial corporation,wintrust financial corporation,0.87
2376,surgepays inc,"surgepays, inc.",0.87
5843,"marinus pharmaceuticals, inc.","salarius pharmaceuticals, inc.",0.87
6891,"j.w. mays, inc.",j. w. mays inc.,0.87
10044,"citius pharmaceuticals, inc.","actinium pharmaceuticals, inc.",0.87
9425,pimco municipal income fund,pimco municipal income fund iii,0.87
8807,vision marine technologies inc,visioneering technologies inc,0.87
625,know labs inc,"know labs, inc.",0.87
10153,china zenix auto international ltd.,china zenix auto international limited,0.87
8165,alliancebernstein global high income fd,alliancebernstein global high income fund inc,0.87
9343,prosomnus inc,"prosomnus, inc.",0.87
1996,sharecare inc,"sharecare, inc.",0.87
13056,nuveen virginia quality municipal inc fd,nuveen virginia quality municipal income fund.,0.87
4119,"energy and environmental services, inc.",energy & environmental services inc,0.87
7497,vyant bio inc,"vyant bio, inc.",0.87
9947,"southern bancshares n.c., inc.",southern bancshares nc inc,0.87
8733,"equillium, inc.",equillium inc,0.87
9938,intact financial corporation,wintrust financial corporation,0.87
3624,pacific financial corporation,mackinac financial corporation,0.87
2096,intact financial corporation,wintrust financial corporation,0.87
464,intact financial corporation,wintrust financial corporation,0.87
10822,"the southern banc company, inc.","southern banc company, inc.",0.87
2802,"amneal pharmaceuticals, inc.","anebulo pharmaceuticals, inc.",0.86
12396,value line tax exempt fund inc.,"the value line tax exempt fund, inc.",0.86
9154,"cca industries, inc.","mcrae industries, inc.",0.86
2245,shenandoah telecommunications company,shenandoah telecommunications co,0.86
11977,green environmental technologies inc.,"bion environmental technologies, inc.",0.86
10341,cipher pharmaceuticals inc.,deciphera pharmaceuticals inc,0.86
13903,andina acquisition corp. iii,altimar acquisition corp. iii,0.86
707,"eterna therapeutics, inc.","oncternal therapeutics, inc.",0.86
9413,"aveo pharmaceuticals, inc.","anebulo pharmaceuticals, inc.",0.86
1155,"the duckhorn portfolio, inc.","duckhorn portfolio, inc.",0.86
9455,sparx technology inc.,sharps technology inc.,0.86
7656,"eloxx pharmaceuticals, inc.","eledon pharmaceuticals, inc.",0.86
10050,western asset emerging mkts debt fd inc.,western asset emerging markets debt fund inc,0.86
6096,"u.s. xpress enterprises, inc.",us xpress enterprises inc,0.86
9695,blackrock health sciences term trust,blackrock health sciences trust,0.86
773,immunome inc.,immunogen inc.,0.86
12772,"vistas media acquisition co., inc.",vistas media acquisition company inc.,0.86
7510,evolution petroleum corporation,evolution petroleum corporation inc.,0.86
6730,woodlands financial services company,woodlands financial services co,0.86
9436,pimco california muni income fund ii,pimco california municipal income fund iii,0.86
1007,pioneer bancorp inc.,pioneer bancorp inc/ny,0.86
5637,jewett-cameron trading company ltd.,jewett-cameron trading company,0.86
12404,"allena pharmaceuticals, inc.","dicerna pharmaceuticals, inc.",0.86
11266,spartan acquisition corp.,spartan acquisition corp. iii,0.86
4947,"intellia therapeutics, inc.","intensity therapeutics, inc.",0.86
4608,benitec biopharma inc,benitec biopharma ltd,0.86
11577,focus impact bh3 acquisition co.,focus impact bh3 acquisition company,0.86
10687,enterprise 4.0 technology acquisition,enterprise 4.0 technology acquisition corp.,0.86
7768,john hancock investment trust,john hancock investors trust,0.86
1187,firsthand technology value fund,firsthand technology value fund inc.,0.86
11717,impel pharmaceuticals inc.,lipella pharmaceuticals inc.,0.86
7402,condor resources inc.,concho resources inc.,0.86
13474,diamond hill investment group,diamond hill investment group inc.,0.85
2758,northern technologies international corp,northern technologies international corporation,0.85
9796,science applications international corp,science applications international corporation,0.85
8120,first national financial corporation,security national financial corporation,0.85
2124,"yumanity therapeutics, inc.","allarity therapeutics, inc.",0.85
2396,aka brands holding corp,a.k.a. brands holding corp.,0.85
10128,"heron therapeutics, inc.","esperion therapeutics, inc.",0.85
7348,"roper technologies, inc.","procore technologies, inc.",0.85
7055,tortoise energy independence fund,"tortoise energy independence fund, inc.",0.85
9955,"avenue therapeutics, inc.","prelude therapeutics, inc.",0.85
7081,"msc industrial direct co., inc.",msc industrial direct company inc.,0.85
12577,blackstone / gso senior flt rate term fd,blackstone / gso senior floating rate term fund,0.85
13686,riverwalk acquisition corp.,riverview acquisition corp.,0.85
11703,sassy resources corporation,range resources corporation,0.85
4899,machten inc,"machten, inc.",0.85
6102,zoomaway technologies inc.,zoominfo technologies inc.,0.85
13439,parnassus value equity fund,parnassus core equity fund,0.85
5789,"talaris therapeutics, inc.","galera therapeutics, inc.",0.85
7021,"viveve medical, inc.","vivani medical, inc.",0.85
9926,"aligos therapeutics, inc.","qualigen therapeutics, inc.",0.85
12654,decarbonization plus acquisition corp iv,decarbonization plus acquisition corporation iv,0.85
11643,minehub technologies inc.,minerals technologies inc.,0.85
13185,"boyle bancorp, inc.","byline bancorp, inc.",0.85
4526,portland general electric co,portland general electric company,0.85
7292,"keweenaw land association, limited","keweenaw land association, ltd.",0.85
11971,"y-mabs therapeutics, inc.","cymabay therapeutics, inc.",0.85
10207,northwest natural holding company,northwest natural holding co,0.85
11544,ignyte acquisition corp.,infinite acquisition corp.,0.85
3478,"first bancshares, inc.","first mid bancshares, inc.",0.85
12222,"spi energy co., ltd.",spi energy co ltd,0.85
8106,mason resources inc.,eon resources inc.,0.85
12764,urano energy corp.,uranium energy corp.,0.85
11365,imac holdings inc,limbach holdings inc,0.85
11825,citizens bancshares company,citizens bancshares corp,0.85
7747,century next financial corporation,century financial corporation,0.85
7143,"silverbow resources, inc.","silver bull resources, inc.",0.85
12770,odonate inc,"odonate, inc.",0.85
11744,"honat bancorp, inc.","howard bancorp, inc.",0.85
5826,blackrock ny municipal income trust,blackrock new york municipal income trust,0.85
2799,"kratos defense & sec solutions, inc.",kratos defense & security solutions inc.,0.85
11013,"the national security group, inc.",national security group inc.,0.85
4250,cnx resources corporation,range resources corporation,0.85
7910,ares dynamic credit allocation fund,"ares dynamic credit allocation fund, inc.",0.85
11315,"marker therapeutics, inc.","larimar therapeutics, inc.",0.85
6713,xs financial inc.,"axos financial, inc.",0.85
12548,"renovorx, inc",renovorx inc.,0.85
5512,novra technologies inc.,monogram technologies inc.,0.85
1388,"enova international, inc.","innovex international, inc.",0.85
522,gri bio inc,"gri bio, inc.",0.85
13067,blackrock muniyield quality fund ii,blackrock muniyield quality fund iii inc.,0.85
13216,first community financial corporation,first commonwealth financial corporation,0.85
8172,"highlands bankshares, inc.",highlands bankshares inc/wv,0.85
2582,ensign energy services inc.,basic energy services inc.,0.85
9462,gds holdings limited,wsp holdings limited,0.85
6738,jmp group llc,jmp group inc,0.85
9448,inscape corporation,invacare corporation,0.85
7672,"kura oncology, inc.","ikena oncology, inc.",0.85
11696,"fuse medical, inc.","outset medical, inc.",0.85
4448,fidelity advisor series,fidelity advisor series vii,0.85
11123,credit suisse asset management income fd,credit suisse asset management income fund inc.,0.85
11923,hfb financial corporation,hanmi financial corporation,0.85
8347,ibw financial corporation,arrow financial corporation,0.85
2643,"arca biopharma, inc.","aytu biopharma, inc.",0.85
11909,merchants bancorp,merchants bancorp/in,0.85
10448,tana resources corp.,targa resources corp,0.85
8644,badger capital corp.,ladder capital corp,0.85
9315,avantax inc,"avantax, inc.",0.85
11459,pimco ny municipal income fund iii,pimco new york municipal income fund iii,0.85
7673,pioneer municipal high income advantage,pioneer municipal high income advantage trust.,0.85
13674,blackrock muniyield california fund,"blackrock muniyield california fund, inc.",0.85
7312,"exco resources, inc.","arch resources, inc.",0.85
63,"simpson manufacturing co., inc.",simpson manufacturing company inc.,0.85
12402,genix pharmaceuticals corporation,dmk pharmaceuticals corporation,0.85
13344,blackrock va municipal bond trust,blackrock virginia municipal bond trust,0.85
5270,"lyra therapeutics, inc.","larimar therapeutics, inc.",0.85
4175,"first bancshares, inc.","first mid bancshares, inc.",0.85
639,chord energy corporation,chimera energy corporation,0.85
1896,"relmada therapeutics, inc.","prelude therapeutics, inc.",0.85
7298,invitae corporation,invacare corporation,0.85
12536,poema global holdings corp,zeta global holdings corp.,0.85
12997,calamos global dynamic income,calamos global dynamic income fund,0.85
3030,"bv financial, inc.","cboa financial, inc.",0.85
11292,icarus capital corp.,argus capital corp.,0.85
6578,pond technologies holdings inc.,"evolv technologies holdings, inc.",0.85
3228,"hoth therapeutics, inc.","hotspot therapeutics, inc.",0.85
31,hewlett packard enterprise company,hewlett packard enterprise co,0.85
12355,decarbonization plus acquisition corp ii,decarbonization plus acquisition corporation ii,0.85
962,"cidara therapeutics, inc.","cymabay therapeutics, inc.",0.85
3832,"neurobo pharmaceuticals, inc.","recursion pharmaceuticals, inc.",0.84
10090,blackstone strategic credit term fund,blackstone strategic credit fund.,0.84
1656,dell technologies inc.,westell technologies inc.,0.84
10193,creative media & community trust corp.,creative media & community trust corporation,0.84
9307,xphyto therapeutics corp.,psybio therapeutics corp.,0.84
6318,"telephone and data systems, inc.",telephone & data systems inc,0.84
6987,monmouth real estate investment corp.,monmouth real estate investment corporation,0.84
10011,american church mortgage company,american church mortgage co,0.84
3841,frazier lifesciences acquisition corp.,frazier lifesciences acquisition corporation,0.84
11314,virtus investment partners,virtus investment partners inc.,0.84
13130,"lifestore financial group, inc.",midwestone financial group inc.,0.84
6078,virtus investment partners,virtus investment partners inc.,0.84
4901,zincore metals inc.,tincorp metals inc,0.84
9647,goldenstone acquisition limited,goldenstone acquisition ltd.,0.84
9586,corporate property assoc 18-global inc,corporate property associates 18 - global inc,0.84
869,nymox pharmaceutical corporation,dmk pharmaceuticals corporation,0.84
11652,pershimex resources corporation,permian resources corporation,0.84
11346,dune acquisition corporation,nocturne acquisition corporation,0.84
10522,property solutions acquisition corp. ii,property solutions acquisition corporation ii,0.84
2193,vision marine technologies inc.,visioneering technologies inc,0.84
3339,liquid avatar technologies inc.,liquidmetal technologies inc.,0.84
350,abrdn asia-pacific income fund vcc,aberdeen asia pacific income fund inc,0.84
9713,aesther healthcare acquisition corp.,gardiner healthcare acquisitions corp.,0.84
4413,isleworth healthcare acquisition corp.,isleworth healthcare acquisition corporation,0.84
10876,barings capital investment corporation,stellus capital investment corporation,0.84
8590,jaws hurricane acquisition corporation,jaws mustang acquisition corporation,0.84
11086,cherry hill mortgage investment corp.,cherry hill mortgage investment corporation,0.84
5,lumiera health inc.,"lucira health, inc.",0.84
3891,virtus investment partners,virtus investment partners inc.,0.84
8472,phoenix new media ltd,phoenix new media limited,0.84
2512,"research solutions, inc.",research solutions inc/ca,0.84
3200,"twin vee powercats, inc.",twin vee powercats co.,0.83
1599,capitalworks emerging markets acq corp,capitalworks emerging markets acquisition corp,0.83
9689,range financial corporation,heritage financial corporation,0.83
12545,allianzgi convertible & income 2024,allianzgi convertible & income 2024 target,0.83
9392,u&i financial corporation,univest financial corporation,0.83
3606,performance food group company,performance food group co,0.83
9683,novagold resources inc.,tonogold resources inc,0.83
4624,nuvo pharmaceuticals inc.,"anebulo pharmaceuticals, inc.",0.83
10337,enterprise financial services corp,enterprise financial services corporation,0.83
12031,white river bancshares company,white river bancshares co,0.83
5588,oramed pharmaceuticals inc.,"paratek pharmaceuticals, inc.",0.83
6361,medmen enterprises inc.,werner enterprises inc.,0.83
7326,"ani pharmaceuticals, inc.","actinium pharmaceuticals, inc.",0.83
10997,zenith energy ltd.,genie energy ltd.,0.83
12068,23andme hldg co,23andme holding co,0.83
13103,eagle point income company inc,eagle point income co inc,0.83
3257,water ways technologies inc.,watts water technologies inc.,0.83
9651,medexus pharmaceuticals inc.,supernus pharmaceuticals inc.,0.83
10677,chromocell therapeutics corporation,channel therapeutics corporation,0.83
5998,integra lifesciences holdings corp.,integra lifesciences holdings corporation,0.83
10653,the one group hospitality inc.,one group hospitality inc,0.83
7064,target global acquisition i corp.,seaport global acquisition ii corp.,0.83
7349,crh public limited company,kalera public limited company,0.83
6508,cleantech acquisition corp.,oceantech acquisitions i corp.,0.83
6335,"agios pharmaceuticals, inc.","phathom pharmaceuticals, inc.",0.83
3597,"timber pharmaceuticals, inc.","concert pharmaceuticals, inc.",0.83
13687,polar resources corporation,permian resources corporation,0.83
3237,western asset mortgage capital corp.,western asset mortgage capital corporation,0.83
